title,company,location,work_mode,job_type,skills,salary_avg,date_posted,experience_level,education,source,job_url,salary_min,salary_max
Supply Chain Data Scientist,HP,"Spring, Texas, United States",onsite,fulltime,[],195575.0,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Supply Chain Management,datasciencejobs,https://datasciencejobs.com/jobs/supply-chain-data-scientist-hp-united-states-12/,154000.0,237150.0
Senior Data Science Consultant - Credit Decisioning,Experian,"London, England, United Kingdom",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-science-consultant-experian-united-kingdom-3/,,
"Sr. MTS, Machine Learning Architect",PayPal,"San Jose, California, United States",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Masters in Machine Learning,datasciencejobs,https://datasciencejobs.com/jobs/sr-mts-machine-learning-architect-paypal-united-states-29/,,
"Data Scientist, Trust & Safety",Bumble Inc.,"London, London, United Kingdom",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-bumble-inc-united-kingdom-6/,,
Staff Data Scientist,Airwallex,"Singapore, , Singapore",onsite,fulltime,"['Python', 'R', 'SQL']",,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/staff-data-scientist-airwallex-singapore-4/,,
AVP - Data Scientist,Citi,"Bangalore, Karnataka, India",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/avp-data-scientist-citi-india-9/,,
"Senior Associate, Principal Statistical Data Scientist",Pfizer,"Chennai, Tamil Nadu, India",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Masters in Statistics,datasciencejobs,https://datasciencejobs.com/jobs/senior-associate-principal-statistical-data-pfizer-india-8/,,
Principal Data Scientist,Red Hat,"Bangalore, , India",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/principal-data-scientist-red-hat-india-5/,,
"Associate Director, Data Science (Indirect Procurement)",AbbVie,"North Chicago, Illinois, United States",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/associate-director-data-science-abbvie-united-states-13/,,
Senior Associate Data Scientist,Commonwealth Bank,"Bangalore, , India",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-associate-data-scientist-commonwealth-bank-india-13/,,
"Data Scientist III, Walmart Data Ventures",Walmart,"Bentonville, Arkansas, United States",onsite,fulltime,[],135000.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-iii-walmart-united-states-40/,90000.0,180000.0
Machine Learning Infrastructure Manager,Cantina Labs,"San Francisco, California, United States",onsite,fulltime,[],225000.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/ml-infrastructure-manager-cantina-labs-united-states-2/,200000.0,250000.0
Staff Machine Learning Engineer,EvenUp,"San Francisco, California, United States",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/staff-machine-learning-engineer-evenup-united-states-2/,,
Staff Machine Learning Engineer - Poe,Quora,"Remote, Remote, United States",remote,fulltime,[],253428.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/staff-machine-learning-engineer-quora-united-states-5/,195394.0,311462.0
"AIML - Chief of Staff, Data and Machine Learning Innovation",Apple,"Cupertino, California, United States",onsite,fulltime,[],187700.0,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/chief-of-staff-data-ml-innovation-united-states-88/,140700.0,234700.0
Data Scientist,Visa,"Atlanta, Georgia, United States",onsite,fulltime,[],132675.0,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-visa-united-states-19/,110000.0,155350.0
Senior/Staff Data Engineer - Remote EMEA,Aircall,"Remote, , , United Kingdom",remote,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Bachelors in Data Engineering,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-engineer-aircall-united-kingdom-5/,,
Data Platform Engineer Specialist,Sanofi,"Budapest, , Hungary",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/data-platform-engineer-sanofi-hungary-19/,,
Machine Learning Infrastructure Engineer (All Levels),Abridge,"San Francisco, California, United States",onsite,fulltime,[],225000.0,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/ml-infrastructure-engineer-abridge-united-states-3/,185000.0,265000.0
Staff Machine Learning Engineer,Rokt,"Seattle, Washington, United States",onsite,fulltime,[],444500.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/staff-machine-learning-engineer-rokt-united-states-5/,375000.0,514000.0
Senior Machine Learning Engineer,ASML,"San Diego, California, United States",onsite,fulltime,[],189000.0,2026-03-09 00:00:00+00:00,senior,Masters in Machine Learning,datasciencejobs,https://datasciencejobs.com/jobs/senior-machine-learning-engineer-asml-united-states-11/,141750.0,236250.0
Senior Machine Learning Engineer,Uber,"Seattle, Washington, United States",onsite,fulltime,[],195250.0,2026-03-09 00:00:00+00:00,senior,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-machine-learning-engineer-uber-united-states-55/,185000.0,205500.0
Data Engineer,iKhokha,"uMhlanga, , South Africa",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/data-engineer-ikhokha-south-africa-1/,,
Senior Data Engineer,Dun & Bradstreet,"Hyderabad, , India",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-engineer-dun-bradstreet-india-3/,,
Data Engineer,SFEIR,", , Luxembourg",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/data-engineer-sfeir-luxembourg-1/,,
Head of Data Engineering,Deep 6 AI,"Pasadena, California, United States",onsite,fulltime,[],280000.0,2026-03-09 00:00:00+00:00,lead,Masters in Data Engineering,datasciencejobs,https://datasciencejobs.com/jobs/head-of-data-engineering-deep-6-ai-united-states-3/,250000.0,310000.0
Data Scientist,Red Hat,"Bangalore, , India",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-red-hat-india-4/,,
Statistical Data Scientist,Pfizer,"Chennai, , India",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Statistics,datasciencejobs,https://datasciencejobs.com/jobs/statistical-data-scientist-pfizer-india-7/,,
Staff Data Scientist,Zefr,"Marina del Rey, California, United States",onsite,fulltime,[],242500.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/staff-data-scientist-zefr-united-states-3/,235000.0,250000.0
Senior Data Scientist,Patreon,"San Francisco, California, United States",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-patreon-united-states-4/,,
Data Scientist,Saxon Global,"Chesterbrook, Pennsylvania, United States",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-saxon-global-united-states-2/,,
"Lead Software Engineer, Machine Learning",Monarch Money,"Remote, , United States",remote,fulltime,[],,2026-03-09 00:00:00+00:00,lead,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/software-engineer-machine-learning-monarch-money-united-states-1/,,
Machine Learning Researcher,Curai Health,"Remote, , United States",remote,fulltime,"['PyTorch', 'Python', 'TensorFlow', 'langchain']",200000.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-researcher-curai-health-united-states-3/,190000.0,210000.0
Machine Learning Engineer,WeRide,"San Jose, California, United States",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-engineer-weride-united-states-3/,,
Machine Learning Engineer,Orbital Sidekick,"San Francisco, California, United States",onsite,fulltime,"['AWS', 'Airflow', 'DVC', 'Dagster', 'Dask']",130000.0,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-engineer-orbital-sidekick-united-states-1/,100000.0,160000.0
Machine Learning Engineer,INflow Federal,"Springfield, Virginia, United States",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-engineer-inflow-federal-united-states-3/,,
Data Scientist,Ample Insight,"Toronto, Ontario, Canada",onsite,fulltime,"['NumPy', 'Python', 'R', 'Scikit-Learn', 'TensorFlow']",,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-ample-insight-canada-4/,,
Data Scientist,IQVIA,"Madrid, , Spain",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-iqvia-spain-4/,,
"Data Scientist, Trust & Safety",Bumble Inc.,"New York, New York, United States",onsite,fulltime,[],161500.0,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-bumble-inc-united-states-5/,135000.0,188000.0
Data Scientist - Supply Chain,Apple,"Cork, County Cork, Ireland",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/ai-scientist-apple-ireland-87/,,
"Data Engineer, Ads Sales Data Services",Amazon,"Seattle, Washington, United States",onsite,fulltime,[],162250.0,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/data-engineer-amazon-united-states-47/,118900.0,205600.0
Data Engineer,HSO,"Rotterdam, South Holland, Netherlands",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/data-engineer-hso-netherlands-2/,,
Data Engineer - Python,Hiscox,"Lisbon, , Portugal",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/data-engineer-hiscox-portugal-6/,,
Data Engineer,Nielsen,"Mumbai, , India",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/data-engineer-nielsen-india-9/,,
Deep Learning Algorithms Manager,NVIDIA,"Warsaw, , Poland",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/deep-learning-algorithms-mgr-nvidia-poland-30/,,
Computer Vision Architect,Apple,"Sunnyvale, California, United States",onsite,fulltime,[],244000.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/computer-vision-architect-apple-united-states-86/,175800.0,312200.0
Senior Data Scientist - ML,Twitch,"San Francisco, California, United States",onsite,fulltime,[],195350.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-twitch-united-states-7/,143300.0,247400.0
Data Scientist (L5) - Live and Ads,Netflix,"Los Gatos, California, United States",onsite,fulltime,[],450000.0,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-live-netflix-united-states-20/,150000.0,750000.0
Data Engineer 4,Comcast,"Chennai, Tamil Nadu, India",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/lead-cloud-financial-operations-comcast-india-6/,,
Senior Data Engineer,Novartis,"Hyderabad, , India",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Bachelors in Data Engineering,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-engineer-novartis-india-4/,,
IT Data Engineer,Procter & Gamble,"Warsaw, , Poland",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/it-data-engineer-procter-gamble-poland-16/,,
Senior Data Engineer,Atlassian,"N/A, N/A, United States",onsite,fulltime,[],176700.0,2026-03-09 00:00:00+00:00,senior,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-engineer-atlassian-united-states-14/,135600.0,217800.0
"Senior Data Engineer, Machine Learning Operations",Attentive,", , United States",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-engineer-attentive-united-states-5/,,
Sr. Data Scientist,SonSoft Inc.,"Memphis, Tennessee, United States",onsite,fulltime,"['Hadoop', 'Hbase', 'Hive', 'Impala', 'MLlib']",,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/sr-data-scientist-sonsoft-inc-united-states-2/,,
"Associate Director, Procurement Data Science (Direct Procurement)",AbbVie,"North Chicago, Illinois, United States",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/associate-director-data-science-abbvie-united-states-12/,,
"Data Science Director, Growth",Airwallex,"London, , United Kingdom",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-science-director-airwallex-united-kingdom-3/,,
Next Generation Sales Engine (NGSE) Data Scientist,Zoetis,"Parsippany, New Jersey, United States",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-zoetis-united-states-5/,,
Machine Learning Engineer - Collision Avoidance System,Zoox,"Foster City, California, United States",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-engineer-zoox-united-states-5/,,
Machine Learning Manager,Autodesk,"San Francisco, California, United States",onsite,fulltime,[],195800.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/research-engineering-manager-autodesk-united-states-16/,149600.0,242000.0
Senior AI Machine Learning Engineer,PayPal,"San Jose, California, United States",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-ml-engineer-paypal-united-states-28/,,
"AIML - Sr Engineering Program Manager, Machine Learning FM",Apple,"Seattle, Washington, United States",onsite,fulltime,['Python'],217950.0,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/aiml-engineering-program-manager-apple-united-states-85/,157000.0,278900.0
"Senior Manager, Data Engineering - ML/AI",Workday,"Dublin, , Ireland",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-manager-data-engineering-workday-ireland-8/,,
Member of Technical Staff - Data Engineer,Microsoft,"New York, New York, United States",onsite,fulltime,[],183700.0,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/data-engineer-microsoft-united-states-66/,117200.0,250200.0
Data Platform Engineer,Sanofi,"Budapest, , Hungary",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/data-platform-engineer-sanofi-hungary-18/,,
Data Science: Internship Opportunities - Redmond,Microsoft,"Redmond, Washington, United States",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-intern-microsoft-united-states-67/,,
"Machine Learning Engineer, RAG",Salesforce,"San Francisco, California, United States",onsite,fulltime,[],278050.0,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-engineer-salesforce-united-states-13/,172000.0,384100.0
Machine Learning Ops Engineer,GameChanger,"Remote, , United States",remote,fulltime,[],145000.0,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/mlops-engineer-gamechanger-united-states-3/,130000.0,160000.0
Machine Learning Engineer,Dell Technologies,"Singapore, , Singapore",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-engineer-dell-technologies-singapore-10/,,
Sr. Machine Learning Engineer,Xometry,"Remote, São Paulo, São Paulo, Brazil",remote,fulltime,"['NoSQL', 'PyTorch', 'Python', 'SQL', 'TensorFlow']",,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-machine-learning-engineer-xometry-brazil-9/,,
Research Intern - Artificial Intelligence and Machine Learning,Microsoft,"New York, New York, United States",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Artificial Intelligence or related field,datasciencejobs,https://datasciencejobs.com/jobs/research-intern-microsoft-united-states-65/,,
Principal Data Scientist (Machine Learning),Jerry,"San Francisco, California, United States",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,lead,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/principal-machine-learning-engineer-jerry-united-states-8/,,
Computer Vision and Deep Learning Engineer,Apple,"Herzliya, Tel Aviv District, Israel",onsite,fulltime,"['PyTorch', 'Python']",,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/computer-vision-engineer-apple-israel-84/,,
Lead Data Scientist,Endava,"Ljubljana, , Slovenia",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,lead,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/lead-data-scientist-endava-slovenia-1/,,
Data Science and Machine Learning Software Engineer,NetApp,"Sunnyvale, California, United States",onsite,fulltime,"['HDFS', 'Hadoop', 'Hbase', 'Hive', 'Impala']",,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/data-science-and-machine-learning-netapp-united-states-1/,,
Senior Data Scientist,Grab,"Beijing, Beijing, China",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-grab-china-3/,,
Mid-Level Data Scientist,EcoVadis,"Barcelona, , Spain",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/mid-level-data-scientist-ecovadis-spain-1/,,
"Data Scientist (Middle/Senior, Generative AI)",Київстар,"Kyiv, , Ukraine",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,mid-level,Masters in a relevant field,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-kyivstar-ukraine-1/,,
Mixed-Signal IP Machine Learning Engineer,Apple,"Cupertino, California, United States",onsite,fulltime,['Python'],220000.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Electrical Engineering,datasciencejobs,https://datasciencejobs.com/jobs/mixed-signal-ip-machine-learning-engineer-apple-united-states-83/,175800.0,264200.0
Manager AI and Data Engineering,Blend,"Remote, Columbia, Maryland, United States",remote,fulltime,[],,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/manager-ai-and-data-engineering-blend-united-states-1/,,
Founding AI Solutions Engineer,LlamaIndex,"San Francisco, California, United States",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/forward-deployed-ai-engineer-llamaindex-united-states-2/,,
Gen AI and LLM Manager,Netcompany,"Athens, , Greece",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,mid-level,Masters in AI,datasciencejobs,https://datasciencejobs.com/jobs/gen-ai-and-llm-manager-netcompany-greece-1/,,
Research Intern - Algorithms Group: Deep learning,Microsoft,"Mountain View, California, United States",onsite,fulltime,[],9170.0,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/research-intern-microsoft-united-states-64/,5460.0,12880.0
Senior Data Engineer,Rokt,"New York, New York, United States",onsite,fulltime,[],262500.0,2026-03-09 00:00:00+00:00,senior,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-engineer-rokt-united-states-4/,200000.0,325000.0
"Principal Data Scientist, Generative AI",Autodesk,"Toronto, Ontario, Canada",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,PhD in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/principal-data-scientist-autodesk-canada-15/,,
"Data Scientist III, Product, Search",Google,"Mountain View, California, United States",onsite,fulltime,[],150000.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-iii-google-united-states-30/,122000.0,178000.0
"Senior Data Scientist, Recommendations",Bumble Inc.,"London, England, United Kingdom",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-bumble-inc-united-kingdom-4/,,
Data Science: PhD Internship Opportunities - Redmond,Microsoft,"Redmond, Washington, United States",onsite,fulltime,[],10235.0,2026-03-09 00:00:00+00:00,entry-level,PhD in <field>,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-intern-microsoft-united-states-63/,6550.0,13920.0
"Research Engineer, Applied AI Engineering",OpenAI,"San Francisco, California, United States",onsite,fulltime,"['PyTorch', 'Python', 'TensorFlow']",,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/research-engineer-openai-united-states-14/,,
Senior Machine Learning Engineer,Curai Health,"Remote, , United States",remote,fulltime,"['NLP', 'Python', 'SQL']",220000.0,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-ml-engineer-curai-health-united-states-2/,200000.0,240000.0
Staff Machine Learning Engineer,Attentive,"San Francisco, California, United States",onsite,fulltime,"['AWS', 'Airflow', 'CloudFlare', 'Datadog', 'DynamoDB']",,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/staff-machine-learning-engineer-attentive-united-states-4/,,
"Staff Machine Learning Engineer, Fakespot",Mozilla,"Remote, , United States",remote,fulltime,[],212000.0,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/staff-machine-learning-engineer-mozilla-united-states-5/,165000.0,259000.0
Cloud Solution Architect - Azure AI and Machine Learning,Microsoft,"Athens, Attica, Greece",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/cloud-solution-architect-microsoft-greece-62/,,
AI Software Engineer,Siena AI,"Warsaw, , Poland",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/ai-software-engineer-siena-ai-poland-1/,,
Sr. Data Scientist,SonSoft Inc.,"Memphis, Tennessee, United States",onsite,fulltime,"['IBM SPSS', 'Python', 'R']",,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/sr-data-scientist-sonsoft-inc-united-states-1/,,
Data Scientist - Machine Learning,Ample Insight,"Toronto, Ontario, Canada",onsite,fulltime,"['NumPy', 'Python', 'R', 'Scikit-Learn', 'TensorFlow']",,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-ample-insight-canada-3/,,
Senior Data Scientist (Media),Veepee,"Saint-Denis, Île-de-France, France",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-veepee-france-1/,,
"Data Scientist, Web 3",Mysten Labs,"Remote, , United States",remote,fulltime,[],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-mysten-labs-united-states-1/,,
"Senior Manager, Delivery Data Science & Analytics",Informa Connect,"New York, New York, United States",onsite,fulltime,[],150000.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-manager-delivery-data-informa-connect-united-states-5/,140000.0,160000.0
Senior Data Scientist,Compass Lexecon,"Berlin, Berlin, Germany",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-compass-lexecon-germany-1/,,
"Senior Data Scientist, Algorithm (Risk)",Airwallex,"Singapore, , Singapore",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-airwallex-singapore-2/,,
Senior Data Scientist (GenAI),OutcomesAI,"Singapore, , Singapore",onsite,fulltime,[],,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/ai-engineer-outcomesai-singapore-1/,,
"(USA) Staff, Data Scientist",Walmart,"Sunnyvale, California, United States",onsite,fulltime,[],198000.0,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/staff-data-scientist-walmart-united-states-39/,110000.0,286000.0
Cloud Machine Learning Engineer - US remote,Hugging Face,"Remote, , , United States",remote,fulltime,[],,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/cloud-machine-learning-engineer-hugging-face-united-states-4/,,
Machine Learning Infrastructure Engineer,Suno,"Boston, Massachusetts, United States",onsite,fulltime,"['PyTorch', 'Python']",205000.0,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-infrastructure-eng-suno-united-states-2/,170000.0,240000.0
"Senior Manager, Machine Learning Research Science",Cognitiv,"San Mateo, California, United States",onsite,fulltime,[],225000.0,2026-03-09 00:00:00+00:00,senior,PhD in <field>,datasciencejobs,https://datasciencejobs.com/jobs/senior-manager-machine-learning-cognitiv-united-states-2/,200000.0,250000.0
